CONDITION,COUNT
Emphysema,199
Hypercapnia,75
Hypoxia,723
Mitral valve calcification,11
Periodic limb movement disorder,6
Vertebral osteophyte,12
Fractional exhaled nitric oxide increased,3
Rhinitis allergic,84
Varicella,70
Lymphocyte count increased,86
Cardiac flutter,139
Excessive cerumen production,25
Fat tissue increased,38
Hip fracture,649
Thrombophlebitis superficial,53
Aphasia,703
Dependence,93
Developmental delay,45
Foetal arrhythmia,5
Foetal monitoring abnormal,7
Gait inability,1264
Hepatotoxicity,478
Jaundice neonatal,41
Lichen planus,54
Abdominal mass,71
Joint range of motion decreased,232
Nasal injury,19
Tibia fracture,92
Insulin-like growth factor increased,70
Euphoric mood,221
Substance dependence,46
Dry age-related macular degeneration,15
Neovascular age-related macular degeneration,23
Slow speech,53
Vital capacity decreased,10
Anuria,231
Basal cell carcinoma,448
Blood urine present,471
Cardiac failure acute,183
Tendon rupture,267
Increased bronchial secretion,65
Joint dislocation,263
Nasal dryness,143
Vascular occlusion,48
Acute myocardial infarction,493
Melaena,552
Troponin T increased,18
Uterine polyp,37
Asthmatic crisis,102
Bile duct stone,79
Crying,661
Dyspnoea at rest,119
Haematocrit decreased,418
Hypochromasia,12
Mean cell haemoglobin decreased,73
Mean cell volume decreased,54
Microcytosis,8
Nasal polyps,82
Polychromasia,9
Red cell distribution width increased,130
Frostbite,7
Haematuria,922
Intestinal metastasis,17
Product administration error,843
Measles,19
Spinal cord infection,18
Parkinson's disease,466
Dermatitis,778
Immunodeficiency,366
Skin fissures,469
Anal pruritus,17
Glucose tolerance impaired,109
Joint instability,34
Somatic symptom disorder,59
Dermatitis acneiform,135
Gaze palsy,41
Pharyngeal disorder,49
Panic reaction,142
Eye degenerative disorder,4
Eye inflammation,178
Eye irritation,990
Eyelid margin crusting,66
Lacrimal duct procedure,2
Lacrimal structural disorder,3
Sjogren's syndrome,160
Visual acuity reduced,298
Hypophagia,601
Muscle rupture,96
Anaemia postoperative,8
Bundle branch block right,88
Complication associated with device,517
Concussion,171
Groin pain,214
Intramedullary rod insertion,8
Pelvic fracture,155
Post-traumatic stress disorder,142
Spinal fracture,563
Venous haemorrhage,6
Apparent death,148
Feeling of body temperature change,133
Skin plaque,224
Heat exhaustion,10
Ill-defined disorder,1097
Optic nerve injury,31
Diplegia,46
Gastrointestinal stromal tumour,48
Metastases to lung,270
Metastases to peritoneum,61
Metastases to pleura,30
Metastases to spine,68
Neoplasm recurrence,75
Pneumovirus test positive,1
Vaccination site cellulitis,1
Excessive eye blinking,26
Vomiting projectile,56
Upper-airway cough syndrome,216
Rash morbilliform,45
Enteritis,242
Ileus paralytic,83
Large intestine polyp,202
Rectal haemorrhage,1077
Short-bowel syndrome,15
Disability,289
Staphylococcal abscess,13
Staphylococcal bacteraemia,65
Adrenal insufficiency,349
Demyelination,69
Electric shock,17
Intervertebral discitis,32
Progressive multifocal leukoencephalopathy,272
Infrequent bowel movements,51
Lip erythema,23
Single functional kidney,28
Congenital cystic lung,3
Hydrops foetalis,16
Distractibility,24
Muscle fatigue,113
Product prescribing error,961
Treatment noncompliance,1079
Allergy to arthropod sting,7
Arthropod bite,150
Chromaturia,488
Thinking abnormal,409
Cervical incompetence,7
Preterm premature rupture of membranes,23
Ageusia,402
Anosmia,142
Polyp,157
Respiratory symptom,70
Heart rate abnormal,155
Lymph node pain,33
Lymphadenitis,54
Injection site cellulitis,46
Injection site erythema,1652
Abnormal sensation in eye,55
Asthenopia,101
Capillary fragility,20
Dumping syndrome,6
Glomerular filtration rate decreased,286
Lacrimal disorder,21
Lacrimation increased,683
Nocturnal dyspnoea,40
Pigmentation disorder,150
Skin injury,69
Vitamin D decreased,195
Infected bite,28
Lung neoplasm malignant,538
Brain injury,214
Skull fracture,44
Gastrointestinal sounds abnormal,94
Rash generalised,930
Paralysis,338
Paresis,40
Skin reaction,584
Migraine with aura,75
Pancytopenia,1133
Respiratory depression,164
Chronic gastrointestinal bleeding,6
Device related sepsis,47
Mallory-Weiss syndrome,17
Pseudomonal bacteraemia,16
Treatment failure,1904
Dermatitis atopic,295
Smear cervix abnormal,22
Streptococcal infection,114
Sedation complication,81
B-lymphocyte count decreased,22
Faecaloma,115
Pemphigus,116
Underdose,1830
Bronchial hyperreactivity,39
Clostridium test positive,34
Device leakage,524
Pain in jaw,911
Blepharospasm,118
Menorrhagia,402
Nuclear magnetic resonance imaging abnormal,93
Osteitis,44
Pulpitis dental,21
Tooth extraction,214
Insulin autoimmune syndrome,8
Angina unstable,89
Cardiac discomfort,60
Limb crushing injury,16
Malignant melanoma,377
Pneumothorax,363
Postoperative wound infection,203
Heart valve operation,13
Cerebral disorder,191
Joint effusion,202
Injury corneal,11
Cerebral atrophy,84
Encephalomalacia,14
Hypertensive urgency,17
Lacunar infarction,36
Withdrawal hypertension,4
Stem cell transplant,28
Prolonged pregnancy,6
Benign prostatic hyperplasia,94
Bladder dilatation,32
Suprapubic pain,10
Gastrointestinal pain,242
Intraocular lens implant,7
Polyneuropathy,300
Pulmonary infarction,26
Squamous cell carcinoma,247
Throat clearing,55
Laboratory test abnormal,557
Pelvic discomfort,18
Bronchial obstruction,56
Eosinophilia,501
Cystitis bacterial,12
Flank pain,225
H1N1 influenza,41
Heart transplant rejection,20
Animal bite,62
Inflammation of wound,14
Venous stenosis,4
Bronchopulmonary aspergillosis allergic,36
Chapped lips,78
Cystic fibrosis,300
Lip discolouration,21
Pseudomonas infection,174
Adverse drug reaction,1404
Gangrene,158
Haemothorax,52
Hyperchromic anaemia,2
Embolism,174
Hypocoagulable state,30
Pulmonary alveolar haemorrhage,104
Right ventricular failure,181
Subgaleal haematoma,3
Blood creatinine decreased,81
Borrelia infection,16
Cardiac hypertrophy,19
Electrocardiogram repolarisation abnormality,21
Immunoglobulins increased,8
Lyme disease,64
Protein urine present,102
Urinary sediment present,36
Urine albumin/creatinine ratio increased,6
pH urine increased,6
Post procedural bile leak,10
Bone density abnormal,106
Knee arthroplasty,352
Red blood cell sedimentation rate abnormal,149
Spinal operation,246
Oesophagitis,196
Change of bowel habit,38
Injection site bruising,1248
Injection site discomfort,159
Intestinal haemorrhage,114
Proctalgia,122
Rectal polyp,26
Sensitisation,10
Thyroid disorder,376
Urine abnormality,147
Urine odour abnormal,142
Lens disorder,8
Device operational issue,247
Aphthous ulcer,241
Chemical burn of skin,201
Lip blister,64
Pruritus generalised,814
Rash maculo-papular,467
Ear pruritus,75
Nasal pruritus,38
Eye contusion,65
Chronic respiratory failure,23
Neuroendocrine tumour,54
Blood brain barrier defect,5
CSF measles antibody positive,3
CSF protein increased,14
Cerebral artery stenosis,12
Focal dyscognitive seizures,49
Hemianopia,13
Organic brain syndrome,5
Partial seizures,98
Pleocytosis,17
Reversible cerebral vasoconstriction syndrome,59
Rubella antibody positive,4
Thunderclap headache,14
Nail discolouration,96
Skin haemorrhage,395
Chest injury,69
Acute hepatitis C,7
Dementia,597
Post procedural infection,200
Cytopenia,241
Left ventricular dysfunction,150
Wound dehiscence,66
Back injury,207
Haemangioma,44
Lumbar spinal stenosis,46
Spinal retrolisthesis,4
Diffuse large B-cell lymphoma,161
Acute febrile neutrophilic dermatosis,29
Necrotising fasciitis,113
Pain of skin,1703
Panniculitis,79
Protein total decreased,60
Scrotal swelling,23
Skin induration,48
Subcutaneous abscess,103
Tension,109
Coccydynia,42
Anger,640
Rash pruritic,1059
Product complaint,1067
Deformity,149
Hepatic lesion,98
Hepatic neoplasm,70
Ocular neoplasm,11
Product container issue,150
Encephalopathy,462
Left ventricular failure,82
Cerebral artery occlusion,17
Intracranial aneurysm,106
Microangiopathy,30
Acute hepatic failure,325
Encephalitis viral,32
Herpes simplex meningoencephalitis,2
Human herpesvirus 6 infection,49
Band neutrophil count decreased,5
Basophil count increased,27
Erythropoiesis abnormal,7
Megakaryocytes increased,2
Myeloproliferative neoplasm,24
Thermal burn,118
Thrombocytosis,95
Bone cancer,67
Bone cancer metastatic,7
Nephropathy toxic,184
Renal tubular necrosis,282
Meningitis aseptic,98
Unresponsive to stimuli,427
Blood cholesterol decreased,43
Gastritis erosive,91
Hepatic cirrhosis,409
Meningitis tuberculous,19
Blood testosterone decreased,85
Peptic ulcer,67
Red blood cell count increased,79
Face injury,77
Shoulder operation,73
Hypercoagulation,32
Cerebral infarction,514
Cerebral thrombosis,53
Endocarditis bacterial,25
Pericarditis,234
Sickle cell anaemia with crisis,78
Drug level changed,14
Rash follicular,5
Pre-existing condition improved,267
Dysmetria,19
Encopresis,3
Paranoia,278
Sarcopenia,13
Therapeutic response unexpected,1006
Subdural haemorrhage,86
Abnormal behaviour,614
Affect lability,169
Blood thyroid stimulating hormone increased,185
Circumstantiality,1
Delusion,287
"Hallucinations, mixed",60
Histrionic personality disorder,6
Hypomania,59
Incoherent,110
Personality change,178
Pressure of speech,9
Screaming,118
Stubbornness,17
Suspiciousness,18
Tangentiality,2
Thought blocking,8
Verbal abuse,8
Abnormal faeces,209
Axillary mass,16
Bladder irritation,8
Cyanosis,261
Endometrial cancer,27
Magnesium deficiency,17
Muscle swelling,19
Night sweats,684
Paraesthesia oral,269
Product substitution issue,1753
Vulvovaginal dryness,56
Scleroderma-like reaction,8
Chemotherapy,89
Hypogammaglobulinaemia,105
Decreased interest,115
International normalised ratio increased,360
Lacrimal haemorrhage,3
Sensitive skin,107
Fibrosing colonopathy,4
Post procedural oedema,7
Exposed bone in jaw,52
Loose tooth,56
Tooth loss,272
Ammonia increased,126
Dissociative amnesia,7
Mood altered,539
Pelvic prolapse,16
Vulvovaginal pruritus,118
Extrapyramidal disorder,379
Paraplegia,80
Spinal cord neoplasm,21
Renal transplant,104
Toxic epidermal necrolysis,248
Erectile dysfunction,316
Cleft palate,51
Anorexia nervosa,16
Azotaemia,114
Feeding disorder,509
Haemorrhagic diathesis,88
Laryngeal discomfort,22
Ammonia abnormal,14
Cold-stimulus headache,13
Colitis ulcerative,704
Histoplasmosis,21
Abscess jaw,15
CD4 lymphocytes decreased,38
Disease recurrence,601
Induration,39
Prothrombin level abnormal,5
Stoma site abscess,7
Stoma site oedema,7
Stoma site pain,77
Drug effective for unapproved indication,434
Haemorrhagic stroke,245
Brain stem syndrome,20
Vocal cord disorder,35
Blood prolactin increased,123
Meningomyelocele,8
Product adhesion issue,669
Haematotoxicity,184
Boredom,7
Electrolyte imbalance,242
Stupor,45
Bacterial infection,402
Adjustment disorder,26
Contrast media allergy,36
Muscle injury,81
Relapsing-remitting multiple sclerosis,18
Syringomyelia,3
Urinary tract pain,9
Device difficult to use,241
No adverse event,2876
Angioplasty,27
Femoral neck fracture,107
Cataract operation,113
Ulcerative keratitis,53
Crepitations,119
Injection site swelling,1102
Periorbital oedema,110
Pharyngeal swelling,407
Soft tissue injury,18
Wolff-Parkinson-White syndrome,10
Accident at work,44
Miliaria,36
Antipsychotic drug level above therapeutic,10
Binge drinking,4
Persecutory delusion,54
Dysgeusia,830
Hepatomegaly,206
Throat tightness,533
Viraemia,56
Ear pain,475
Subdural haematoma,402
Blepharitis,90
Erythema of eyelid,86
Thalassaemia beta,2
Labyrinthitis,62
Rehabilitation therapy,87
Stress at work,21
Circumstance or information capable of leading to medication error,485
Dermatitis bullous,162
Allergic reaction to excipient,71
Hypertransaminasaemia,152
Aggression,780
Body temperature abnormal,51
Completed suicide,692
Judgement impaired,28
Libido decreased,185
Melanocytic naevus,129
Repetitive speech,6
Sexual dysfunction,157
Jaw fistula,12
Lip infection,5
Refusal of treatment by patient,70
Consciousness fluctuating,23
Feeling guilty,13
Hypothermia,213
Stomach mass,28
Increased appetite,405
Abdominal tenderness,98
Duodenitis,66
Allodynia,15
Haemophagocytic lymphohistiocytosis,213
Hypertriglyceridaemia,104
Clonus,60
Hypertonia,88
Incubator therapy,3
Language disorder,88
Complication of device removal,423
Device deployment issue,296
Device dislocation,870
Incorrect product administration duration,1100
Basedow's disease,99
Endocrine ophthalmopathy,24
Macular oedema,75
Neurological symptom,89
Pneumonia pneumococcal,37
Uveitis,309
Reaction to excipient,89
Gingival bleeding,311
Acne pustular,52
Lymphoedema,154
Oral disorder,159
Allergy to animal,25
Pneumococcal infection,17
Therapeutic response changed,63
Biliary colic,63
Cholecystitis infective,66
Ulcer haemorrhage,113
Sialoadenitis,25
Post viral fatigue syndrome,6
Abscess intestinal,73
Apoptosis,15
Biopsy intestine abnormal,3
Complications of intestinal transplant,2
Gastrointestinal ulcer,44
Gastrointestinal wall thickening,44
Graft loss,12
Graft thrombosis,8
Akathisia,204
Invasive ductal breast carcinoma,56
Systemic lupus erythematosus,666
Prostatitis,84
Incomplete spinal fusion,1
Apgar score abnormal,4
Cerebral ventricle dilatation,18
Congenital skin dimples,12
Talipes,42
Gastric ulcer haemorrhage,106
Neonatal hepatomegaly,1
Neonatal respiratory distress syndrome,47
Portal vein thrombosis,82
Lip dry,106
Tongue biting,28
Viral pharyngitis,17
Bladder cancer,273
Carcinoid tumour,25
Accidental exposure to product by child,128
Bradypnoea,62
Infantile vomiting,3
Miosis,180
Hepatocellular carcinoma,224
Albuminuria,22
Ureteral stent insertion,12
Hip surgery,90
Hypercalcaemia,277
Metastases to bone,292
Prostate cancer,412
Overwork,2
Hip arthroplasty,281
Hyperlactacidaemia,60
Venous occlusion,41
Alcohol interaction,39
Torticollis,48
Epicondylitis,42
Lung neoplasm,60
Pharyngeal abscess,13
Radius fracture,50
Vein rupture,68
Metastases to abdominal cavity,6
Synovitis,601
Morose,3
Peak expiratory flow rate decreased,18
Diabetic foot,87
Injection site nodule,204
Blood count abnormal,693
Clumsiness,54
Oral mucosal discolouration,13
Peripheral vascular disorder,112
Petechiae,262
Rash macular,958
Steroid diabetes,61
Asbestosis,10
Rectal cancer,55
Lower gastrointestinal haemorrhage,215
Plasma cell myeloma,945
Costochondritis,37
Bunion operation,13
Injection site vesicles,81
Foetal malformation,18
Diabetic neuropathy,97
Accidental exposure to product,1862
Immune reconstitution inflammatory syndrome,198
Increased viscosity of bronchial secretion,22
Morbid thoughts,14
Sense of oppression,43
Sputum retention,20
Calcinosis,50
Obstruction,85
Negative thoughts,48
Asthma-chronic obstructive pulmonary disease overlap syndrome,10
Environmental exposure,4
Acute coronary syndrome,159
Abdominal cavity drainage,13
Pharyngeal oedema,77
Scab,332
Concomitant disease aggravated,335
Gastrointestinal procedural complication,11
Mast cell activation syndrome,44
Mastocytosis,10
Monocytosis,10
Respiratory tract inflammation,32
Cutaneous T-cell lymphoma,67
Upper gastrointestinal haemorrhage,366
Post procedural haemorrhage,227
Breast cancer female,120
Subarachnoid haemorrhage,206
Haematospermia,9
Sudden death,182
Arnold-Chiari malformation,7
Brain operation,44
Circadian rhythm sleep disorder,21
Idiopathic pulmonary fibrosis,129
Jejunal perforation,7
Drug detoxification,21
Major depression,128
Cardiac tamponade,157
Pericardial haemorrhage,59
Breast enlargement,93
Hyperbilirubinaemia,224
Liver function test decreased,9
Skin necrosis,122
"Hallucination, tactile",10
Physical deconditioning,58
Pyloric stenosis,27
Pituitary haemorrhage,2
Haemorrhage subepidermal,2
Light chain analysis increased,24
Alanine aminotransferase decreased,16
Blood thyroid stimulating hormone decreased,114
Monocyte count increased,108
Renal colic,53
Thyroiditis acute,2
Tracheal inflammation,3
Electrocardiogram ST segment elevation,49
Thoracic vertebral fracture,95
Acoustic neuroma,11
Albright's disease,1
Encephalitis,170
Fibrous dysplasia of bone,1
Neoplasm,233
Vitreous floaters,173
Linear IgA disease,110
Tubulointerstitial nephritis,1632
Spinal cord injury,46
Colitis ischaemic,107
Abdominal lymphadenopathy,20
Food intolerance,117
Lactose intolerance,42
Anaesthetic complication,53
Product packaging quantity issue,190
Fibrosis,60
Rheumatoid nodule,132
Chondropathy,74
Meniscus injury,172
Rheumatoid factor positive,112
